DriverID, Steps, ActualMaxFrontier, MaxFrontier
100,1006,10,10
110,2408,10,10
120,408,10,FAIL
130,2282,10,FAIL
140,721,10,10
150,1277,10,10
160,1518,10,10
170,640,10,10
180,1956,10,10
190,1566,10,10
200,933,10,10
100,1754,25,25
110,5311,25,25
120,2331,25,25
130,2237,25,25
140,1155,25,25
150,2247,25,25
160,2723,25,25
170,2364,25,25
180,4157,25,25
190,3314,25,25
200,2820,25,25
100,2093,50,50
110,8694,50,50
120,3118,50,50
130,3057,50,50
140,3372,50,50
150,2869,50,50
160,4976,50,50
170,1592,50,50
180,4012,50,50
190,5455,50,50
200,2657,50,50
100,3463,100,100
110,10374,100,100
120,3836,100,100
130,4020,100,100
140,1990,100,100
150,5044,100,100
160,6993,100,100
170,1935,100,100
180,4205,100,100
190,9017,100,100
200,2498,100,100
100,3798,196,250
110,16831,250,250
120,4188,225,250
130,4394,208,250
140,2020,161,250
150,5849,250,250
160,8095,250,250
170,1940,147,250
180,4363,172,250
190,11416,250,250
200,2498,137,250
100,3798,196,500
110,17959,500,500
120,4188,225,500
130,4394,208,500
140,2020,161,500
150,5855,266,500
160,8107,293,500
170,1940,147,500
180,4363,172,500
190,12905,500,500
200,2498,137,500
100,3798,196,700
110,17993,582,700
120,4188,225,700
130,4394,208,700
140,2020,161,700
150,5855,266,700
160,8107,293,700
170,1940,147,700
180,4363,172,700
190,12923,549,700
200,2498,137,700
